artist,asset,candidate,candidate_score,common,credit,key,license,rank,scientific,source,status,url
,plegadis-falcinellus.webp,,,Glossy Ibis,,plegadis-falcinellus,,145,Plegadis falcinellus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVGlossy_Ibis.jpg
,,,,White-faced Ibis,,plegadis-chihi,,146,Plegadis chihi,,missing-source,
,,,,Wood Stork,,mycteria-americana,,147,Mycteria americana,,missing-source,
,,,,Fulvous Whistling-Duck,,dendrocygna-bicolor,,148,Dendrocygna bicolor,,missing-source,
,anser-albifrons.webp,,,Greater White-fronted Goose,,anser-albifrons,,149,Anser albifrons,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVWhite-fronted_Goose.jpg
,anser-caerulescens.webp,,,Snow Goose,,anser-caerulescens,,150,Anser caerulescens,gould,existing,https://commons.wikimedia.org/wiki/File:The_birds_of_Europe_(1837)_(14563947840).jpg
,,,,Ross's Goose,,anser-rossii,,151,Anser rossii,,missing-source,
,branta-canadensis.webp,,,Canada Goose,,branta-canadensis,,152,Branta canadensis,morris,existing,https://commons.wikimedia.org/wiki/File:British_game_birds_and_wildfowl_(Plate_32)_(8093637854).jpg
,spatula-cyanoptera.webp,,,Cinnamon Teal,,spatula-cyanoptera,,153,Spatula cyanoptera,vonwright,existing,https://commons.wikimedia.org/wiki/File:Bird_illustration_from_Svenska_F%C3%A5glar_(Swedish_Birds)_by_the_von_Wright_brothers_from_rawpixel%27s_original_edition_of_the_publication_00158.jpg
,anas-acuta.webp,,,Northern Pintail,,anas-acuta,,154,Anas acuta,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVPintail_Duck.jpg
,,,,Canvasback,,aythya-valisineria,,155,Aythya valisineria,,missing-source,
,,,,Redhead,,aythya-americana,,156,Aythya americana,,missing-source,
,,,,Ring-necked Duck,,aythya-collaris,,157,Aythya collaris,,missing-source,
,,,,Lesser Scaup,,aythya-affinis,,158,Aythya affinis,,missing-source,
,aythya-marila.webp,,,Greater Scaup,,aythya-marila,,159,Aythya marila,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVScaup_Pochard.jpg
,melanitta-perspicillata.webp,,,Surf Scoter,,melanitta-perspicillata,,160,Melanitta perspicillata,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVSurf_Scoter.jpg
,,,,Black Scoter,,melanitta-americana,,162,Melanitta americana,,missing-source,
,clangula-hyemalis.webp,,,Long-tailed Duck,,clangula-hyemalis,,163,Clangula hyemalis,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVLong-tailed_Duck.jpg
